existing_lion_name,existing_image_name,lion_orientation,distance_calculated,test_image_name,test_image_orientation
DVMC2,6S2A8819.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVMC2,6S2A8825.jpg,left,0.926648423522933,6S2A2031_JPEG52_1,left
DVMC2,6S2A8826.jpg,left,0.908764840023424,6S2A2031_JPEG52_1,left
DVMC3,6S2A8829.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVMC3,6S2A8830.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVMC3,6S2A8833.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVMC3,6S2A8839.jpg,left,0.9417989351914875,6S2A2031_JPEG52_1,left
DVMC3,6S2A8840.jpg,left,0.9781247152503477,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8794.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8795.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8796.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8797.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8798.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8799.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8800.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
DVSAF1,6S2A8804.jpg,left,0.9524214073818649,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2867.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2868.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2872.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2873.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2875.jpg,left,0.9678417698126629,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2876.jpg,left,0.8784268125014648,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2885.jpg,left,0.9228154666538451,6S2A2031_JPEG52_1,left
JJPEG10,6S2A2888.jpg,left,0.9554482834823634,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2893.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2894.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2895.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2896.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2897.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2898.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2899.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2900.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2901.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2902.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2908.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2910.jpg,left,0.9166495576376423,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2915.jpg,left,0.9495550996472972,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2916.jpg,left,0.9684926598814136,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2917.jpg,left,0.9672253266752773,6S2A2031_JPEG52_1,left
JJPEG11,6S2A2918.jpg,left,0.9866780243636674,6S2A2031_JPEG52_1,left
JJPEG12,6S2A2921.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG12,6S2A2922.jpg,right,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2935.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2936.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2937.jpg,left,0.9533658351373347,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2938.jpg,left,0.9822172979970183,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2939.jpg,left,0.9669583498121531,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2940.jpg,left,0.9507923197400361,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2941.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2942.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2946.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2949.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
JJPEG13,6S2A2950.jpg,front,-9999.0,6S2A2031_JPEG52_1,left
