existing_lion_name,existing_image_name,lion_orientation,distance_calculated,test_image_name,test_image_orientation
DVMC2,6S2A8819.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVMC2,6S2A8825.jpg,left,0.845611435974264,6S2A2887_JJPEG10,left
DVMC2,6S2A8826.jpg,left,0.8228459685053227,6S2A2887_JJPEG10,left
DVMC3,6S2A8829.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVMC3,6S2A8830.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVMC3,6S2A8833.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVMC3,6S2A8839.jpg,left,0.8673161995579264,6S2A2887_JJPEG10,left
DVMC3,6S2A8840.jpg,left,0.9135093036636299,6S2A2887_JJPEG10,left
DVSAF1,6S2A8794.jpg,front,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8795.jpg,front,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8796.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8797.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8798.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8799.jpg,right,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8800.jpg,front,-9999.0,6S2A2887_JJPEG10,left
DVSAF1,6S2A8804.jpg,left,0.8896292669658369,6S2A2887_JJPEG10,left
JJPEG10,6S2A2867.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG10,6S2A2868.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG10,6S2A2872.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG10,6S2A2873.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG10,6S2A2875.jpg,left,0.9032950497982015,6S2A2887_JJPEG10,left
JJPEG10,6S2A2876.jpg,left,0.8153994538912313,6S2A2887_JJPEG10,left
JJPEG10,6S2A2885.jpg,left,0.8749603174974692,6S2A2887_JJPEG10,left
JJPEG10,6S2A2888.jpg,left,0.870297326812148,6S2A2887_JJPEG10,left
JJPEG11,6S2A2893.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2894.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2895.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2896.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2897.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2898.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2899.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2900.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2901.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2902.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2908.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG11,6S2A2910.jpg,left,0.8277833074886303,6S2A2887_JJPEG10,left
JJPEG11,6S2A2915.jpg,left,0.8126601715925861,6S2A2887_JJPEG10,left
JJPEG11,6S2A2916.jpg,left,0.809779376111847,6S2A2887_JJPEG10,left
JJPEG11,6S2A2917.jpg,left,0.8424842776651926,6S2A2887_JJPEG10,left
JJPEG11,6S2A2918.jpg,left,0.8633659423916609,6S2A2887_JJPEG10,left
JJPEG12,6S2A2921.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG12,6S2A2922.jpg,right,-9999.0,6S2A2887_JJPEG10,left
JJPEG13,6S2A2935.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG13,6S2A2936.jpg,front,-9999.0,6S2A2887_JJPEG10,left
JJPEG13,6S2A2937.jpg,left,0.8574574646323462,6S2A2887_JJPEG10,left
JJPEG13,6S2A2938.jpg,left,0.8691033210085503,6S2A2887_JJPEG10,left
JJPEG13,6S2A2939.jpg,left,0.8693830141562203,6S2A2887_JJPEG10,left
