existing_lion_name,existing_image_name,lion_orientation,distance_calculated,test_image_name,test_image_orientation
DVMC2,6S2A8819.jpg,right,0.8987331172398484,6S2A8718_TDYSAF1,right
DVMC2,6S2A8825.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
DVMC2,6S2A8826.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
DVMC3,6S2A8829.jpg,right,0.8947183577264567,6S2A8718_TDYSAF1,right
DVMC3,6S2A8831.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
DVMC3,6S2A8833.jpg,right,0.9384550404924199,6S2A8718_TDYSAF1,right
DVMC3,6S2A8834.jpg,right,0.941669429156312,6S2A8718_TDYSAF1,right
DVMC3,6S2A8839.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
DVMC3,6S2A8840.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8794.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8795.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8796.jpg,right,0.910180593284016,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8797.jpg,right,0.8851789453596526,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8798.jpg,right,0.901213380385202,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8799.jpg,right,0.9077031813130857,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8800.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
DVSAF1,6S2A8804.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2867.jpg,right,0.8669993410536002,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2868.jpg,right,0.8831775978711154,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2869.jpg,right,0.9185129510022301,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2870.jpg,right,0.9081784687322605,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2872.jpg,right,0.8716674163007824,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2873.jpg,right,0.9245479117704173,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2874.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2875.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2876.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2879.jpg,right,0.9038073110498593,6S2A8718_TDYSAF1,right
JJPEG10,6S2A2888.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2893.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2894.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2895.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2896.jpg,right,0.8574250660603964,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2897.jpg,right,0.8781731166482983,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2898.jpg,right,0.8420344314580875,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2899.jpg,right,0.8486198852342586,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2900.jpg,right,0.903652090932199,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2901.jpg,right,0.8948026239828288,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2902.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2908.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2910.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2915.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2916.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2917.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG11,6S2A2918.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG12,6S2A2921.jpg,right,0.8260381101648342,6S2A8718_TDYSAF1,right
JJPEG12,6S2A2922.jpg,right,0.908203923814606,6S2A8718_TDYSAF1,right
JJPEG12,6S2A2927.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2935.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2936.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2937.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2938.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2939.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2940.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2941.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2942.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2946.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2949.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2950.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG13,6S2A2951.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG14,6S2A2969.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG14,6S2A2970.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG14,6S2A2971.jpg,front,-9999.0,6S2A8718_TDYSAF1,right
JJPEG14,6S2A2972.jpg,left,-9999.0,6S2A8718_TDYSAF1,right
