existing_lion_name,existing_image_name,lion_orientation,distance_calculated,test_image_name,test_image_orientation
DVMC2,6S2A8819.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVMC2,6S2A8825.jpg,left,0.838764979456524,6S2A8827_DVMC2,left
DVMC2,6S2A8826.jpg,left,0.8204051818188903,6S2A8827_DVMC2,left
DVMC3,6S2A8829.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVMC3,6S2A8830.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVMC3,6S2A8833.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVMC3,6S2A8839.jpg,left,0.8817565061113247,6S2A8827_DVMC2,left
DVMC3,6S2A8840.jpg,left,0.9255241869595362,6S2A8827_DVMC2,left
DVSAF1,6S2A8794.jpg,front,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8795.jpg,front,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8796.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8797.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8798.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8799.jpg,right,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8800.jpg,front,-9999.0,6S2A8827_DVMC2,left
DVSAF1,6S2A8804.jpg,left,0.8777357493555947,6S2A8827_DVMC2,left
JJPEG10,6S2A2867.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG10,6S2A2868.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG10,6S2A2872.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG10,6S2A2873.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG10,6S2A2875.jpg,left,0.8950149916420149,6S2A8827_DVMC2,left
JJPEG10,6S2A2876.jpg,left,0.802519623051108,6S2A8827_DVMC2,left
JJPEG10,6S2A2885.jpg,left,0.8679030649581492,6S2A8827_DVMC2,left
JJPEG10,6S2A2888.jpg,left,0.8822654569395597,6S2A8827_DVMC2,left
JJPEG11,6S2A2893.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2894.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2895.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2896.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2897.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2898.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2899.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2900.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2901.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2902.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2908.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG11,6S2A2910.jpg,left,0.8273616136323045,6S2A8827_DVMC2,left
JJPEG11,6S2A2915.jpg,left,0.8265652562879047,6S2A8827_DVMC2,left
JJPEG11,6S2A2916.jpg,left,0.824761652705825,6S2A8827_DVMC2,left
JJPEG11,6S2A2917.jpg,left,0.8583157051652108,6S2A8827_DVMC2,left
JJPEG11,6S2A2918.jpg,left,0.8785903440237615,6S2A8827_DVMC2,left
JJPEG12,6S2A2921.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG12,6S2A2922.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2935.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2936.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2937.jpg,left,0.8332280519884412,6S2A8827_DVMC2,left
JJPEG13,6S2A2938.jpg,left,0.8520309724924354,6S2A8827_DVMC2,left
JJPEG13,6S2A2939.jpg,left,0.8676145031188177,6S2A8827_DVMC2,left
JJPEG13,6S2A2940.jpg,left,0.8491356201730113,6S2A8827_DVMC2,left
JJPEG13,6S2A2941.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2942.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2946.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2949.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2950.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG13,6S2A2951.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2969.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2970.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2971.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2972.jpg,left,0.8632941954082327,6S2A8827_DVMC2,left
JJPEG14,6S2A2973.jpg,left,0.8757499064329899,6S2A8827_DVMC2,left
JJPEG14,6S2A2974.jpg,left,0.8117482822097868,6S2A8827_DVMC2,left
JJPEG14,6S2A2975.jpg,left,0.8469808209777371,6S2A8827_DVMC2,left
JJPEG14,6S2A2977.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2981.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2982.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2983.jpg,left,0.8515499974101338,6S2A8827_DVMC2,left
JJPEG14,6S2A2985.jpg,left,0.8413652866594542,6S2A8827_DVMC2,left
JJPEG14,6S2A2986.jpg,left,0.8103566448352695,6S2A8827_DVMC2,left
JJPEG14,6S2A2989.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2990.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2991.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2992.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2993.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG14,6S2A2994.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A2997.jpg,left,0.9160251716426535,6S2A8827_DVMC2,left
JJPEG15,6S2A2998.jpg,left,0.8594760334544059,6S2A8827_DVMC2,left
JJPEG15,6S2A2999.jpg,left,0.895376198768959,6S2A8827_DVMC2,left
JJPEG15,6S2A3000.jpg,left,0.877589065291981,6S2A8827_DVMC2,left
JJPEG15,6S2A3001.jpg,left,0.9058319242915402,6S2A8827_DVMC2,left
JJPEG15,6S2A3002.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3004.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3005.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3006.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3008.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3009.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3010.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3011.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3013.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG15,6S2A3014.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3017.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3018.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3021.jpg,left,0.7296780810467164,6S2A8827_DVMC2,left
JJPEG16,6S2A3023.jpg,left,0.6617231485042238,6S2A8827_DVMC2,left
JJPEG16,6S2A3025.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3026.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3027.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3028.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3029.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG16,6S2A3030.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3400.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3402.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3403.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3404.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3405.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3406.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3407.jpg,left,0.8385748167941423,6S2A8827_DVMC2,left
JJPEG4,6S2A3408.jpg,left,0.8287876516286179,6S2A8827_DVMC2,left
JJPEG4,6S2A3414.jpg,left,0.87529395161979,6S2A8827_DVMC2,left
JJPEG4,6S2A3415.jpg,left,0.8679748738938443,6S2A8827_DVMC2,left
JJPEG4,6S2A3416.jpg,left,0.8691871466161355,6S2A8827_DVMC2,left
JJPEG4,6S2A3417.jpg,left,0.8858748039908046,6S2A8827_DVMC2,left
JJPEG4,6S2A3418.jpg,left,0.8850365726771527,6S2A8827_DVMC2,left
JJPEG4,6S2A3419.jpg,left,0.857999932418696,6S2A8827_DVMC2,left
JJPEG4,6S2A3423.jpg,left,0.8839724857016864,6S2A8827_DVMC2,left
JJPEG4,6S2A3424.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG4,6S2A3425.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG5,6S2A3434.jpg,left,0.8419609248795192,6S2A8827_DVMC2,left
JJPEG5,6S2A3436.jpg,left,0.8830956593516511,6S2A8827_DVMC2,left
JJPEG5,6S2A3438.jpg,left,0.8725777685169591,6S2A8827_DVMC2,left
JJPEG5,6S2A3441.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG5,6S2A3442.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG5,6S2A3443.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG5,6S2A3444.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG6,6S2A3449.jpg,left,0.6435192280434333,6S2A8827_DVMC2,left
JJPEG6,6S2A3450.jpg,left,0.8130139773636897,6S2A8827_DVMC2,left
JJPEG6,6S2A3451.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG6,6S2A3453.jpg,left,0.9014979259199847,6S2A8827_DVMC2,left
JJPEG6,6S2A3454.jpg,left,0.865278932083674,6S2A8827_DVMC2,left
JJPEG6,6S2A3455.jpg,left,0.9047694066097058,6S2A8827_DVMC2,left
JJPEG6,6S2A3456.jpg,left,0.897368425289959,6S2A8827_DVMC2,left
JJPEG6,6S2A3457.jpg,left,0.8869333811079668,6S2A8827_DVMC2,left
JJPEG6,6S2A3458.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG6,6S2A3459.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG6,6S2A3460.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG6,6S2A3461.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG7,6S2A3466.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG7,6S2A3467.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG7,6S2A3470.jpg,left,0.7138787858318681,6S2A8827_DVMC2,left
JJPEG7,6S2A3476.jpg,left,0.6898240500740455,6S2A8827_DVMC2,left
JJPEG7,6S2A3477.jpg,left,0.7389879018806801,6S2A8827_DVMC2,left
JJPEG7,6S2A3478.jpg,left,0.7965364299593676,6S2A8827_DVMC2,left
JJPEG7,6S2A3479.jpg,left,0.719576211361701,6S2A8827_DVMC2,left
JJPEG7,6S2A3480.jpg,left,0.7747038221967368,6S2A8827_DVMC2,left
JJPEG8,6S2A3545.jpg,left,0.8087493803305126,6S2A8827_DVMC2,left
JJPEG8,6S2A3546.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3547.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3548.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3549.jpg,left,0.8657525305432912,6S2A8827_DVMC2,left
JJPEG8,6S2A3550.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3551.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3552.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3553.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3555.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3556.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3557.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3558.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3559.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3560.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG8,6S2A3561.jpg,left,0.7964055985917085,6S2A8827_DVMC2,left
JJPEG9,6S2A3564.jpg,front,-9999.0,6S2A8827_DVMC2,left
JJPEG9,6S2A3567.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG9,6S2A3569.jpg,right,-9999.0,6S2A8827_DVMC2,left
JJPEG9,6S2A3570.jpg,left,0.8011178923204625,6S2A8827_DVMC2,left
JJPEG9,6S2A3571.jpg,left,0.9004824626004181,6S2A8827_DVMC2,left
JJPEG9,6S2A3572.jpg,left,0.8650693528619126,6S2A8827_DVMC2,left
JJPEG9,6S2A3573.jpg,left,0.8034926859972468,6S2A8827_DVMC2,left
JJPEG9,6S2A3574.jpg,left,0.8230767899042821,6S2A8827_DVMC2,left
JJPEG9,6S2A3575.jpg,left,0.7720262112394204,6S2A8827_DVMC2,left
